Model,Train Acc,Test Acc,CV Mean,CV Std,Train Time (s),Infer Time (ms),Overfit Gap,F1_None,F1_CSK,F1_DC,F1_GT,F1_KKR,F1_LSG,F1_MI,F1_PBKS,F1_RR,F1_RCB,F1_SRH
SVM (RBF),0.9981,0.8354,0.8097,0.0405,8100.43,21.58,0.1627,0.853,0.907,0.914,0.816,0.894,0.894,0.832,0.662,0.907,0.592,0.849
Random Forest,1,0.8207,0.8009,0.0326,37.17,0.409,0.1793,0.833,0.88,0.866,0.81,0.889,0.865,0.81,0.683,0.904,0.567,0.831
Gradient Boosting,0.8571,0.8107,0.7918,0.0282,11477.81,0.036,0.0464,0.844,0.873,0.781,0.784,0.895,0.8,0.804,0.687,0.875,0.59,0.863
Extra Trees,1,0.7913,0.7818,0.0416,15.76,0.394,0.2087,0.791,0.869,0.891,0.799,0.86,0.878,0.776,0.623,0.905,0.432,0.786
SVM (Linear),0.8437,0.7494,0.7358,0.0321,19678.88,22.652,0.0942,0.778,0.819,0.786,0.689,0.864,0.767,0.724,0.597,0.843,0.525,0.766
Logistic Regression,0.766,0.7233,0.712,0.0296,13.64,0.036,0.0427,0.75,0.827,0.704,0.668,0.843,0.733,0.721,0.564,0.825,0.484,0.763
Decision Tree,0.9481,0.6968,0.6716,0.0299,49.49,0.002,0.2513,0.761,0.82,0.645,0.655,0.816,0.675,0.648,0.53,0.807,0.444,0.685
Naive Bayes,0.6179,0.6112,0.6004,0.0171,0.68,0.035,0.0067,0.723,0.804,0.507,0.461,0.807,0.579,0.556,0.402,0.747,0.296,0.564
AdaBoost,0.5947,0.5888,0.5752,0.0163,323.8,0.088,0.0059,0.718,0.728,0.459,0.592,0.776,0.516,0.495,0.463,0.745,0.207,0.248
KNN (k=7),0.5835,0.4765,0.4486,0.0245,0.71,0.645,0.107,0.724,0.506,0.477,0.439,0.406,0.338,0.112,0.248,0.619,0.043,0.481
XGBoost,0.9982,0.8564,0.8355,0.0276,273.29,0.08,0.1418,0.867,0.919,0.868,0.837,0.915,0.882,0.847,0.745,0.921,0.675,0.899
